CG4:
Cell: [0] (173.94162, 55.427635, 466.31534)
Cell: [1] (14.206261, 18.175447, 173.75258)
Cell: [2] (493.26685, 36.720192, 169.92094)
Cell: [3] (288.76862, 76.69092, 13.771176)
Cell: [4] (166.21455, 18.43002, 343.37604)
Cell: [5] (6.753862, 38.338387, 141.20955)
Cell: [6] (101.92111, 36.30017, 267.40375)
Cell: [7] (313.03995, 35.840385, 237.71063)
Cell: [8] (195.86247, 84.59114, 430.63113)
Cell: [9] (418.378, 53.33091, 285.9079)
Cell: [10] (421.12646, 26.808113, 296.1344)
Cell: [11] (308.27524, 9.539043, 22.47259)
Cell: [12] (395.61517, 81.54157, 278.97034)
Cell: [13] (300.83566, 13.264692, 200.64194)
Cell: [14] (213.6766, 27.840084, 436.72253)
Cell: [15] (114.002075, 76.11916, 320.9504)
Cell: [16] (386.25778, 55.588097, 108.58148)
Cell: [17] (225.28252, 53.7004, 99.22373)
Cell: [18] (28.177053, 12.731856, 153.26088)
Cell: [19] (356.42773, 17.696863, 32.97368)
Cell: [20] (119.98955, 37.06538, 334.05606)
Cell: [21] (201.86743, 72.06692, 436.93158)
Cell: [22] (12.865096, 7.7647567, 246.6482)
Cell: [23] (77.3668, 53.92424, 356.13565)
Cell: [24] (97.09316, 45.64376, 124.23104)
Cell: [25] (434.3593, 57.7931, 418.6577)
Cell: [26] (66.53756, 60.347504, 21.256268)
Cell: [27] (78.16002, 65.33793, 377.6605)
Cell: [28] (218.12758, 76.2583, 59.10158)
Cell: [29] (227.90259, 50.48539, 474.27396)
Cell: [30] (37.11319, 59.304462, 186.61787)
Cell: [31] (484.45273, 19.29562, 479.94162)
Cell: [32] (393.63406, 24.67547, 434.14084)
Cell: [33] (263.81873, 13.328743, 477.0252)
Cell: [34] (485.99133, 93.867676, 118.45523)
Cell: [35] (222.39783, 17.143833, 252.2583)
Cell: [36] (269.48438, 15.631723, 365.63644)
Cell: [37] (406.07397, 94.649826, 341.15787)
Cell: [38] (492.4378, 56.711823, 174.28038)
Cell: [39] (68.71122, 91.738655, 204.42072)
CG3:
Cell: [0] (274.58588, 92.17717, 421.3507)
Cell: [1] (109.5837, 62.610126, 68.712326)
Cell: [2] (467.49088, 86.57096, 305.89868)
Cell: [3] (465.14874, 14.538473, 247.3864)
Cell: [4] (289.77994, 74.803825, 31.294733)
Cell: [5] (338.6994, 83.20595, 164.27124)
Cell: [6] (414.5861, 84.05815, 322.03387)
Cell: [7] (288.1737, 56.64779, 64.10381)
Cell: [8] (226.77678, 31.460363, 313.4659)
Cell: [9] (362.4014, 92.305084, 463.35577)
Cell: [10] (430.31375, 43.231167, 135.48201)
Cell: [11] (382.34393, 12.524324, 24.3012)
Cell: [12] (202.1859, 33.325935, 175.17606)
Cell: [13] (273.5231, 37.035793, 334.51968)
Cell: [14] (190.15787, 6.974423, 243.77084)
Cell: [15] (222.76291, 11.078215, 477.7946)
Cell: [16] (445.33105, 69.92727, 316.03)
Cell: [17] (20.38324, 37.180634, 102.12123)
Cell: [18] (323.33746, 70.37205, 192.59837)
Cell: [19] (143.15024, 74.016266, 174.55777)
Cell: [20] (289.6988, 87.55835, 216.66699)
Cell: [21] (23.688555, 27.384598, 320.41452)
Cell: [22] (121.03492, 26.51913, 271.00995)
Cell: [23] (235.51012, 89.16139, 81.85506)
Cell: [24] (325.45386, 23.391188, 241.98685)
Cell: [25] (237.27927, 88.84334, 178.14818)
Cell: [26] (375.49722, 48.405212, 405.5887)
Cell: [27] (130.70416, 51.738514, 5.8875084)
Cell: [28] (176.12016, 24.586927, 268.92438)
Cell: [29] (490.50592, 76.551765, 308.05457)
Cell: [30] (482.61133, 21.56551, 276.35205)
Cell: [31] (425.7596, 88.38107, 346.6307)
Cell: [32] (485.83878, 37.200207, 407.90982)
Cell: [33] (117.767365, 21.051598, 258.77103)
Cell: [34] (115.76265, 45.243443, 173.43146)
Cell: [35] (203.24507, 60.866283, 89.61004)
Cell: [36] (164.95854, 94.01375, 438.6683)
Cell: [37] (403.29706, 66.588646, 151.6906)
Cell: [38] (311.30814, 26.176172, 87.69861)
Cell: [39] (87.83436, 69.39062, 132.53438)
