CellGroup_2:
Cell: [0] (387.7106, 120.180725, 115.2561)
Cell: [1] (90.289566, 123.60414, 191.50078)
Cell: [2] (230.2208, 179.71979, 279.27356)
Cell: [3] (412.33167, 133.16972, 99.39816)
SampleCellGroup:
Cell: [0] (321.85928, 34.63083, 154.51035)
Cell: [1] (405.83344, 25.555002, 266.80334)
Cell: [2] (36.117344, 65.42647, 262.8665)
Cell: [3] (182.75282, 89.98356, 24.361818)
Cell: [4] (86.374756, 67.649284, 281.3169)
Cell: [5] (79.49233, 43.302887, 248.47409)
Cell: [6] (468.9716, 53.427635, 486.00162)
Cell: [7] (394.72943, 32.334553, 248.45502)
